replica;tModel;sigmaIndex;nRey;nTess;nBo;nMave;selTrueModel;departTrueModel;replicated;firstTGM;numSwitches;avgContTGM;sdContTGM;changesBeforeFirstTGM;replicatedTGM;replicatedNTGM;biasBeta1
76;Y ~ X1 + X2 + X3 + X1:X2;0.5;1;1;300;1;0.545272727272727;0.971318992829748;0.86046511627907;22;345;34.6705202312139;33.2931150481824;4;0.958333333333333;0.736842105263158;0.117215154545455
77;Y ~ X1 + X2 + X3 + X1:X2;0.5;1;1;300;1;0.468363636363636;0.96777950310559;0.894736842105263;155;332;30.8502994011976;36.4459706967766;4;0.941176470588235;0.857142857142857;-0.109520890909091
78;Y ~ X1 + X2 + X3 + X1:X2;0.5;1;1;300;1;0.583727272727273;0.979595015576324;1;52;263;48.6439393939394;49.3066634667699;3;1;1;-0.0954262
79;Y ~ X1 + X2 + X3 + X1:X2;0.5;1;1;300;1;0.588545454545455;0.974667902378746;0.978260869565217;5;328;39.2363636363636;36.5256159543213;3;1;0.952380952380952;0.0726336363636364
80;Y ~ X1 + X2 + X3 + X1:X2;0.5;1;1;300;1;0.587181818181818;0.978631155156395;0.974358974358974;4;277;46.4676258992806;47.9376560947553;2;1;0.916666666666667;-0.135527209090909
81;Y ~ X1 + X2 + X3 + X1:X2;0.5;1;1;300;1;0.534545454545455;0.973979591836735;0.966666666666667;3;306;38.4313725490196;35.2852594662943;2;1;0.944444444444444;0.0433218818181818
82;Y ~ X1 + X2 + X3 + X1:X2;0.5;1;1;300;1;0.541636363636364;0.97079066644284;0.9;61;349;34.0457142857143;32.5300598638472;7;0.961538461538462;0.785714285714286;0.136291709090909
83;Y ~ X1 + X2 + X3 + X1:X2;0.5;1;1;300;1;0.571;0.979617834394904;1;30;257;48.6899224806202;37.3998242078114;5;1;1;0.0627970272727273
84;Y ~ X1 + X2 + X3 + X1:X2;0.5;1;1;300;1;0.299363636363636;0.955663528697237;0.96;3;292;22.5547945205479;24.5371023278451;2;1;0.941176470588235;-0.121251
85;Y ~ X1 + X2 + X3 + X1:X2;0.5;1;1;300;1;0.185272727272727;0.958783120706575;1;120;168;24.2619047619048;24.7274877767608;2;1;1;-0.144059972727273
86;Y ~ X1 + X2 + X3 + X1:X2;0.5;1;1;300;1;0.590090909090909;0.975038520801233;0.914285714285714;19;325;39.8220858895706;40.7691362695534;5;1;0.842105263157895;-0.00962512727272727
87;Y ~ X1 + X2 + X3 + X1:X2;0.5;1;1;300;1;0.553636363636364;0.967487684729064;0.9;10;396;30.7575757575758;27.8504311622034;4;1;0.84;-0.0908808363636364
88;Y ~ X1 + X2 + X3 + X1:X2;0.5;1;1;300;1;0.582909090909091;0.977230193387399;0.918918918918919;42;292;43.9178082191781;36.8721008163522;3;1;0.8;0.0269060818181818
89;Y ~ X1 + X2 + X3 + X1:X2;0.5;1;1;300;1;0.481727272727273;0.958860162294773;0.897435897435897;25;436;24.3073394495413;23.9157900770321;6;1;0.80952380952381;0.0390019545454545
90;Y ~ X1 + X2 + X3 + X1:X2;0.5;1;1;300;1;0.558909090909091;0.979017566688354;0.972222222222222;8;258;47.6589147286822;44.677576891971;2;1;0.941176470588235;0.0871669
91;Y ~ X1 + X2 + X3 + X1:X2;0.5;1;1;300;1;0.553454545454545;0.976178741580417;0.896551724137931;89;291;41.6986301369863;41.5603209079598;5;0.923076923076923;0.875;0.113058263636364
92;Y ~ X1 + X2 + X3 + X1:X2;0.5;1;1;300;1;0.509545454545455;0.974487065120428;0.942857142857143;131;286;39.1958041958042;39.454244981497;17;1;0.904761904761905;0.0743277545454545
93;Y ~ X1 + X2 + X3 + X1:X2;0.5;1;1;300;1;0.433909090909091;0.952011735121542;0.825;2;459;20.7521739130435;22.6313607346807;1;0.947368421052632;0.714285714285714;0.0819416454545455
94;Y ~ X1 + X2 + X3 + X1:X2;0.5;1;1;300;1;0.155909090909091;0.906651108518086;0.947368421052632;30;321;10.6521739130435;9.56377335937888;4;0.75;0.970588235294118;0.154333654545455
95;Y ~ X1 + X2 + X3 + X1:X2;0.5;1;1;300;1;0.634545454545455;0.974641833810888;0.897435897435897;34;354;39.4350282485876;38.4321644726176;10;0.96;0.785714285714286;-0.181749445454545
96;Y ~ X1 + X2 + X3 + X1:X2;0.5;1;1;300;1;0.269545454545455;0.937289278489548;0.935483870967742;80;371;15.9408602150538;13.128131433365;10;0.909090909090909;0.95;-0.102242609090909
97;Y ~ X1 + X2 + X3 + X1:X2;0.5;1;1;300;1;0.640181818181818;0.981962789376509;0.96;10;255;55.015625;45.5733352717933;5;1;0.857142857142857;-0.0970026272727273
98;Y ~ X1 + X2 + X3 + X1:X2;0.5;1;1;300;1;0.593727272727273;0.973660030627871;0.911111111111111;169;345;37.7514450867052;37.4451779224478;27;0.896551724137931;0.9375;0.0940865
99;Y ~ X1 + X2 + X3 + X1:X2;0.5;1;1;300;1;0.593636363636364;0.977947932618683;0.911764705882353;48;288;45.3472222222222;39.6592689620928;8;0.956521739130435;0.818181818181818;0.162545681818182
100;Y ~ X1 + X2 + X3 + X1:X2;0.5;1;1;300;1;0.589181818181818;0.978398395309366;0.882352941176471;52;280;46.2928571428571;48.5852357045703;5;0.9375;0.833333333333333;-0.0178779727272727
1;Y ~ X1 + X2 + X3 + X1:X2;0.5;1;1;1;300;0.712181818181818;0.973956338567599;0.947368421052632;15;409;38.2146341463415;38.7850130304523;9;1;0.833333333333333;0.178912627272727
2;Y ~ X1 + X2 + X3 + X1:X2;0.5;1;1;1;300;0.697454545454545;0.970933263816475;0.931818181818182;5;446;34.4035874439462;31.5257421721473;3;1;0.769230769230769;-0.166815445454545
3;Y ~ X1 + X2 + X3 + X1:X2;0.5;1;1;1;300;0.919727272727273;0.993377483443709;1;18;134;151;121.724477755497;2;1;1;0.111981818181818
4;Y ~ X1 + X2 + X3 + X1:X2;0.5;1;1;1;300;0.0660909090909091;0.858321870701513;0.973684210526316;14;206;7.05825242718447;7.69367609261066;2;1;0.972222222222222;-0.0804492
5;Y ~ X1 + X2 + X3 + X1:X2;0.5;1;1;1;300;0.587;0.964684014869889;0.886363636363636;2;457;28.1965065502183;24.3904781900391;2;0.96;0.789473684210526;-0.0941136545454545
6;Y ~ X1 + X2 + X3 + X1:X2;0.5;1;1;1;300;0.476363636363636;0.937213740458015;0.731707317073171;79;658;15.9270516717325;15.086564168657;21;0.95;0.523809523809524;0.0946691818181818
7;Y ~ X1 + X2 + X3 + X1:X2;0.5;1;1;1;300;0.798909090909091;0.984408785706157;0.903225806451613;5;275;63.6811594202899;63.4831991691355;3;1;0.571428571428571;0.124706581818182
8;Y ~ X1 + X2 + X3 + X1:X2;0.5;1;1;1;300;0.728363636363636;0.975287069395906;0.976744186046512;6;396;40.4646464646465;35.7466588212025;2;1;0.909090909090909;-0.0284217818181818
9;Y ~ X1 + X2 + X3 + X1:X2;0.5;1;1;1;300;0.558363636363636;0.955559173042487;0.838709677419355;49;545;22.4981684981685;21.8086809048539;6;0.933333333333333;0.75;-0.0379427909090909
10;Y ~ X1 + X2 + X3 + X1:X2;0.5;1;1;1;300;0.597;0.954310082241852;0.875;24;601;21.8172757475083;20.0931953793743;5;1;0.7;0.104009045454545
11;Y ~ X1 + X2 + X3 + X1:X2;0.5;1;1;1;300;0.719818181818182;0.976761808537509;1;1;368;43.0326086956522;46.9474653696334;1;1;1;-0.0443441363636364
12;Y ~ X1 + X2 + X3 + X1:X2;0.5;1;1;1;300;0.837909090909091;0.986004122816535;0.972222222222222;19;258;71.4496124031008;71.3613123084199;4;1;0.8;0.154077409090909
13;Y ~ X1 + X2 + X3 + X1:X2;0.5;1;1;1;300;0.867090909090909;0.988465974625144;1;7;221;85.9279279279279;67.6685386426449;2;1;1;-0.0694093545454545
14;Y ~ X1 + X2 + X3 + X1:X2;0.5;1;1;1;300;0.879818181818182;0.991836312906893;0.96875;30;159;120.975;125.014325761369;4;0.966666666666667;1;0.0982177727272727
15;Y ~ X1 + X2 + X3 + X1:X2;0.5;1;1;1;300;0.491;0.942592592592593;0.90625;10;621;17.3665594855305;17.3946795924695;1;0.944444444444444;0.857142857142857;0.149250754545455
