replica;tModel;sigmaIndex;nRey;nTess;nBo;nMave;selTrueModel;departTrueModel;replicated;firstTGM;numSwitches;avgContTGM;sdContTGM;changesBeforeFirstTGM;replicatedTGM;replicatedNTGM;biasBeta1
46;Y ~ X1 + X2 + X3 + X1:X2;0.8;1;1;300;1;0.104363636363636;0.775261324041812;0.630434782608696;2;516;4.44961240310078;4.46248738076682;1;0.833333333333333;0.6;-0.0322119454545454
47;Y ~ X1 + X2 + X3 + X1:X2;0.8;1;1;300;1;0.0853636363636364;0.778251599147121;0.617647058823529;28;417;4.49282296650718;4.20978669433235;8;0.666666666666667;0.612903225806452;-0.0416097454545455
48;Y ~ X1 + X2 + X3 + X1:X2;0.8;1;1;300;1;0.129272727272727;0.790436005625879;0.666666666666667;13;596;4.77181208053691;4.35251512933607;6;1;0.641025641025641;-0.0376134
49;Y ~ X1 + X2 + X3 + X1:X2;0.8;1;1;300;1;0.129090909090909;0.790140845070423;0.680851063829787;20;596;4.76510067114094;4.20499824722811;6;0.75;0.674418604651163;0.0115611818181818
50;Y ~ X1 + X2 + X3 + X1:X2;0.8;1;1;300;1;0.0914545454545455;0.776341948310139;0.688888888888889;93;450;4.47111111111111;3.96077994563921;22;1;0.65;-0.0197499181818182
51;Y ~ X1 + X2 + X3 + X1:X2;0.8;1;1;300;1;0.131727272727273;0.783988957902001;0.424242424242424;72;626;4.62939297124601;4.24755192866966;28;0.5;0.419354838709677;-0.0197459090909091
52;Y ~ X1 + X2 + X3 + X1:X2;0.8;1;1;300;1;0.119454545454545;0.78234398782344;0.76;30;572;4.59440559440559;3.98547848673773;10;1;0.75;-0.0146276272727273
53;Y ~ X1 + X2 + X3 + X1:X2;0.8;1;1;300;1;0.123818181818182;0.773127753303965;0.703703703703704;46;618;4.40776699029126;4.42125230512015;16;1;0.666666666666667;0.0375638636363636
54;Y ~ X1 + X2 + X3 + X1:X2;0.8;1;1;300;1;0.0986363636363636;0.774193548387097;0.741935483870968;131;490;4.42857142857143;3.59416649404076;30;0.5;0.758620689655172;0.0196474727272727
55;Y ~ X1 + X2 + X3 + X1:X2;0.8;1;1;300;1;0.0916363636363636;0.744047619047619;0.682926829268293;18;516;3.90697674418605;3.58214739080041;11;0.5;0.702702702702703;0.0281426272727273
56;Y ~ X1 + X2 + X3 + X1:X2;0.8;1;1;300;1;0.160363636363636;0.806122448979592;0.829268292682927;78;684;5.15789473684211;3.94517920462799;22;1;0.794117647058823;0.0134420181818182
57;Y ~ X1 + X2 + X3 + X1:X2;0.8;1;1;300;1;0.151818181818182;0.798802395209581;0.769230769230769;2;672;4.97023809523809;4.66991079238277;2;0.8;0.764705882352941;0.0176915636363636
