replica;tModel;sigmaIndex;nRey;nTess;nBo;nMave;selTrueModel;departTrueModel;replicated;firstTGM;numSwitches;avgContTGM;sdContTGM;changesBeforeFirstTGM;replicatedTGM;replicatedNTGM;biasBeta1
54;Y ~ X1 + X2;0.5;1;1;1;1;0.686;0.981582085596926;0.966389728096677;76;277;54.2877697841727;60.7709222759163;5;0.984427141268076;0.928235294117647;0.1216509
55;Y ~ X1 + X2;0.5;1;1;1;1;0.658272727272727;0.980527551443171;0.961292747087561;20;282;51.354609929078;49.9825876469243;4;0.981992121553179;0.919683257918552;0.159097418181818
56;Y ~ X1 + X2;0.5;1;1;1;1;0.685727272727273;0.979583720005303;0.960841189267585;69;308;48.6645161290323;47.8862664230536;3;0.983519404572036;0.912200684150513;0.156037072727273
57;Y ~ X1 + X2;0.5;1;1;1;1;0.525454545454546;0.927150025956048;0.88768115942029;21;843;13.696682464455;15.185251576855;2;0.915687629578438;0.856816450875857;0.196542227272727
58;Y ~ X1 + X2;0.5;1;1;1;1;0.642636363636364;0.979626485568761;0.958485069191551;31;289;48.751724137931;46.8172467975334;3;0.979440319817247;0.921608040201005;-0.0684071
59;Y ~ X1 + X2;0.5;1;1;1;1;0.634454545454545;0.977644024075666;0.963176895306859;9;313;44.4522292993631;45.3245342883951;1;0.980338612779902;0.929712460063898;0.122502736363636
60;Y ~ X1 + X2;0.5;1;1;1;1;0.625545454545455;0.978779069767442;0.961200585651537;4;293;46.8095238095238;45.8897328376258;1;0.980345443716498;0.930674264007597;0.0757106454545454
61;Y ~ X1 + X2;0.5;1;1;1;1;0.683909090909091;0.978729061419835;0.951815893563466;19;321;46.7267080745342;48.3926631290374;2;0.975401069518717;0.903402854006586;0.1063679
62;Y ~ X1 + X2;0.5;1;1;1;1;0.647545454545455;0.974866610502668;0.941451149425287;3;359;39.5722222222222;39.9987472646786;2;0.973392461197339;0.88265306122449;0.214272545454545
63;Y ~ X1 + X2;0.5;1;1;1;1;0.708181818181818;0.976633714212351;0.944761225944405;34;365;42.568306010929;49.5315914383067;4;0.98220640569395;0.856972586412396;0.213850281818182
64;Y ~ X1 + X2;0.5;1;1;1;1;0.624727272727273;0.977732498908456;0.951965065502183;23;307;44.6233766233766;41.6281512846003;4;0.976245654692932;0.910958904109589;-0.0586831636363636
65;Y ~ X1 + X2;0.5;1;1;1;1;0.629;0.979476803006215;0.962626995645864;19;284;48.3846153846154;44.8177723608981;2;0.977816695855225;0.937679769894535;0.129155345454545
66;Y ~ X1 + X2;0.5;1;1;1;1;0.683727272727273;0.981119531977131;0.962229556288962;82;284;52.9647887323944;52.0859099352679;6;0.982740021574973;0.918671248568156;-0.0983522545454545
67;Y ~ X1 + X2;0.5;1;1;1;1;0.659636363636364;0.97877618522602;0.961371841155235;93;308;47.1168831168831;51.0646070403203;4;0.973267866884888;0.938100320170758;-0.109132536363636
