replica;tModel;sigmaIndex;nRey;nTess;nBo;nMave;selTrueModel;departTrueModel;replicated;firstTGM;numSwitches;avgContTGM;sdContTGM;changesBeforeFirstTGM;replicatedTGM;replicatedNTGM;biasBeta1
2;Y ~ X1 + X2;0.5;1;300;1;1;0.647363636363636;0.915449438202247;0.91304347826087;245;1205;11.8092868988391;10.844955959174;38;1;0.789473684210526;-0.165919009090909
3;Y ~ X1 + X2;0.5;1;300;1;1;0.613181818181818;0.917420311341735;0.846153846153846;487;1114;12.1095152603232;11.5205727438934;59;0.894736842105263;0.8;0.158651018181818
4;Y ~ X1 + X2;0.5;1;300;1;1;0.0648181818181818;0.918653576437588;0.933333333333333;6129;116;12.2931034482759;15.7925239038055;777;NA;0.933333333333333;-0.119334218181818
5;Y ~ X1 + X2;0.5;1;300;1;1;0.112727272727273;0.905645161290323;0.857142857142857;3631;234;10.5982905982906;10.0807599510497;446;1;0.838709677419355;-0.109185609090909
6;Y ~ X1 + X2;0.5;1;300;1;1;0.509363636363636;0.917350946090682;0.909090909090909;1;927;12.0754310344828;11.6294814083332;1;0.875;0.941176470588235;0.200622854545455
7;Y ~ X1 + X2;0.5;1;300;1;1;0.455363636363636;0.918130990415335;0.930232558139535;7;821;12.1873479318735;11.423614204181;1;0.833333333333333;1;0.164903809090909
8;Y ~ X1 + X2;0.5;1;300;1;1;0.120727272727273;0.92394578313253;0.96551724137931;1;202;13.1485148514851;14.0181212283343;1;1;0.96;-0.0753872090909091
9;Y ~ X1 + X2;0.5;1;300;1;1;0.238090909090909;0.918289423444063;0.935483870967742;1;428;12.2383177570093;10.7548102120251;1;0.833333333333333;0.96;-0.0476154181818182
10;Y ~ X1 + X2;0.5;1;300;1;1;0.677545454545455;0.901381993827989;0.914285714285714;22;1470;10.1401360544218;9.07316355987198;7;0.961538461538462;0.777777777777778;0.179403418181818
11;Y ~ X1 + X2;0.5;1;300;1;1;0.230181818181818;0.913077834847886;0.810810810810811;2687;441;11.4570135746606;11.1727838211187;334;0.833333333333333;0.806451612903226;-0.203219654545455
12;Y ~ X1 + X2;0.5;1;300;1;1;0.636818181818182;0.917761279268989;0.833333333333333;626;1153;12.1403812824957;11.1747195089797;75;0.863636363636364;0.785714285714286;0.213323990909091
13;Y ~ X1 + X2;0.5;1;300;1;1;0.197909090909091;0.915441176470588;0.888888888888889;551;369;11.7675675675676;10.1325469472425;57;1;0.868421052631579;-0.0896207090909091
